task,model,variant,noise_type,noise_level,clean_accuracy,variant_accuracy,accuracy_drop,accuracy_relative_drop_percent,clean_macro_f1,variant_macro_f1,macro_f1_drop,macro_f1_relative_drop_percent,clean_weighted_f1,variant_weighted_f1,weighted_f1_drop,weighted_f1_relative_drop_percent
sentiment,tfidf_char_svm,typo_light,typo,light,0.8752368919772584,0.8733417561591914,0.0018951358180669953,0.2165,0.7387842592562812,0.7315445704530212,0.00723968880325998,0.9799,0.8765275526811909,0.8749146482582396,0.0016129044229512557,0.184
sentiment,tfidf_char_svm,typo_medium,typo,medium,0.8752368919772584,0.8704990524320909,0.004737839545167488,0.5413,0.7387842592562812,0.7312117612953793,0.0075724979609018694,1.025,0.8765275526811909,0.8725580666433377,0.003969486037853187,0.4529
sentiment,tfidf_word_svm,clean,clean,none,0.8919772583701832,0.8919772583701832,0.0,0.0,0.7289041804941077,0.7289041804941077,0.0,0.0,0.8869996271404461,0.8869996271404461,0.0,0.0
sentiment,tfidf_word_svm,mixed_light,mixed,light,0.8919772583701832,0.8818698673404928,0.010107391029690382,1.1331,0.7289041804941077,0.7174282426662465,0.01147593782786116,1.5744,0.8869996271404461,0.8768277257213706,0.010171901419075535,1.1468
sentiment,tfidf_word_svm,mixed_no_accent,mixed,medium,0.8919772583701832,0.401452937460518,0.49052432090966513,54.9929,0.7289041804941077,0.3571448990805446,0.37175928141356307,51.0025,0.8869996271404461,0.44264631622929096,0.44435331091115515,50.0962
sentiment,tfidf_word_svm,no_accent,remove_diacritics,medium,0.8919772583701832,0.4068224889450411,0.4851547694251421,54.3909,0.7289041804941077,0.35968493832539833,0.3692192421687093,50.654,0.8869996271404461,0.4474244434998851,0.43957518364056103,49.5575
sentiment,tfidf_word_svm,teencode_light,teencode,light,0.8919772583701832,0.8856601389766267,0.006317119393556503,0.7082,0.7289041804941077,0.7213042675090274,0.007599912985080226,1.0426,0.8869996271404461,0.8809036528509989,0.0060959742894471924,0.6873
sentiment,tfidf_word_svm,typo_light,typo,light,0.8919772583701832,0.8878711307643714,0.004106127605811749,0.4603,0.7289041804941077,0.7226169658009932,0.00628721469311444,0.8626,0.8869996271404461,0.8825469705451444,0.004452656595301696,0.502
sentiment,tfidf_word_svm,typo_medium,typo,medium,0.8919772583701832,0.8818698673404928,0.010107391029690382,1.1331,0.7289041804941077,0.7140890481286362,0.014815132365471495,2.0325,0.8869996271404461,0.8771206549800705,0.009878972160375588,1.1138
topic,majority,clean,clean,none,0.7233101705622236,0.7233101705622236,0.0,0.0,0.20986070381231672,0.20986070381231672,0.0,0.0,0.6071775258751805,0.6071775258751805,0.0,0.0
topic,majority,mixed_light,mixed,light,0.7233101705622236,0.7233101705622236,0.0,0.0,0.20986070381231672,0.20986070381231672,0.0,0.0,0.6071775258751805,0.6071775258751805,0.0,0.0
topic,majority,mixed_no_accent,mixed,medium,0.7233101705622236,0.7233101705622236,0.0,0.0,0.20986070381231672,0.20986070381231672,0.0,0.0,0.6071775258751805,0.6071775258751805,0.0,0.0
topic,majority,no_accent,remove_diacritics,medium,0.7233101705622236,0.7233101705622236,0.0,0.0,0.20986070381231672,0.20986070381231672,0.0,0.0,0.6071775258751805,0.6071775258751805,0.0,0.0
topic,majority,teencode_light,teencode,light,0.7233101705622236,0.7233101705622236,0.0,0.0,0.20986070381231672,0.20986070381231672,0.0,0.0,0.6071775258751805,0.6071775258751805,0.0,0.0
topic,majority,typo_light,typo,light,0.7233101705622236,0.7233101705622236,0.0,0.0,0.20986070381231672,0.20986070381231672,0.0,0.0,0.6071775258751805,0.6071775258751805,0.0,0.0
topic,majority,typo_medium,typo,medium,0.7233101705622236,0.7233101705622236,0.0,0.0,0.20986070381231672,0.20986070381231672,0.0,0.0,0.6071775258751805,0.6071775258751805,0.0,0.0
topic,tfidf_char_svm,clean,clean,none,0.8335439039797852,0.8335439039797852,0.0,0.0,0.732207043612927,0.732207043612927,0.0,0.0,0.8405751122231676,0.8405751122231676,0.0,0.0
topic,tfidf_char_svm,mixed_light,mixed,light,0.8335439039797852,0.8212255211623499,0.012318382817435247,1.4778,0.732207043612927,0.7185785596255889,0.01362848398733807,1.8613,0.8405751122231676,0.8301093471729677,0.010465765050199916,1.2451
topic,tfidf_char_svm,mixed_no_accent,mixed,medium,0.8335439039797852,0.4320909665192672,0.40145293746051797,48.1622,0.732207043612927,0.30028228382285166,0.43192475979007533,58.9894,0.8405751122231676,0.4964272333151485,0.3441478789080191,40.942
topic,tfidf_char_svm,no_accent,remove_diacritics,medium,0.8335439039797852,0.43619709412507895,0.3973468098547062,47.6696,0.732207043612927,0.2957021068403762,0.4365049367725508,59.615,0.8405751122231676,0.4995718303929242,0.3410032818302434,40.5679
topic,tfidf_char_svm,teencode_light,teencode,light,0.8335439039797852,0.822804801010739,0.010739102969046121,1.2884,0.732207043612927,0.7196435710700673,0.012563472542859722,1.7158,0.8405751122231676,0.8315798444705091,0.008995267752658465,1.0701
topic,tfidf_char_svm,typo_light,typo,light,0.8335439039797852,0.8269109286165508,0.006632975363234372,0.7958,0.732207043612927,0.7230794678963879,0.009127575716539105,1.2466,0.8405751122231676,0.8347234855443036,0.005851626678863964,0.6961
topic,tfidf_char_svm,typo_medium,typo,medium,0.8335439039797852,0.8259633607075174,0.007580543272267759,0.9094,0.732207043612927,0.7214172771884035,0.01078976642452345,1.4736,0.8405751122231676,0.8343510883718528,0.006224023851314819,0.7404
topic,tfidf_word_svm,clean,clean,none,0.8584965255843335,0.8584965255843335,0.0,0.0,0.7509224329491841,0.7509224329491841,0.0,0.0,0.8598470959343006,0.8598470959343006,0.0,0.0
topic,tfidf_word_svm,mixed_light,mixed,light,0.8584965255843335,0.8461781427668983,0.012318382817435247,1.4349,0.7509224329491841,0.7362050498817199,0.014717383067464285,1.9599,0.8598470959343006,0.8486785631489602,0.011168532785340468,1.2989
topic,tfidf_word_svm,mixed_no_accent,mixed,medium,0.8584965255843335,0.32785849652558435,0.5306380290587491,61.8102,0.7509224329491841,0.2616962667568826,0.4892261661923015,65.15,0.8598470959343006,0.40485042391276305,0.4549966720215376,52.916
topic,tfidf_word_svm,no_accent,remove_diacritics,medium,0.8584965255843335,0.3297536323436513,0.5287428932406822,61.5894,0.7509224329491841,0.2613589496179329,0.48956348333125127,65.1949,0.8598470959343006,0.40645484637396606,0.4533922495603346,52.7294
topic,tfidf_word_svm,teencode_light,teencode,light,0.8584965255843335,0.8550221099178774,0.003474415666456121,0.4047,0.7509224329491841,0.7490034519167426,0.0019189810324415912,0.2555,0.8598470959343006,0.8566821852131666,0.0031649107211340066,0.3681
topic,tfidf_word_svm,typo_light,typo,light,0.8584965255843335,0.8553379658875553,0.0031585596967782514,0.3679,0.7509224329491841,0.7496646231407127,0.001257809808471455,0.1675,0.8598470959343006,0.8574537906854403,0.002393305248860389,0.2783
topic,tfidf_word_svm,typo_medium,typo,medium,0.8584965255843335,0.8487049905243209,0.009791535060012624,1.1405,0.7509224329491841,0.7396925342556816,0.011229898693502549,1.4955,0.8598470959343006,0.8517134975197785,0.008133598414522103,0.9459
